time_series,Generacion_no_renovable_MW,Generacion_renovable_MW,Demanda_real_MW,Generacion_FV_MW,Generacion_TV_MW,Generacion_CC_MW,Generacion_EO_MW,Generacion_TG_MW,Generacion_MD_MW,Demanda_programada_MW,Precio_generacion_€MWh
2020-07-01 00:00:00,274.2,42.2,316.4,0.0,90.8,168.3,42.2,0.0,15.1,293.1,148.47
2020-07-01 00:10:00,259.2,52.0,311.2,0.0,74.3,169.0,52.0,0.0,15.9,293.1,148.47
2020-07-01 00:20:00,252.4,53.7,306.1,0.0,71.3,165.7,53.7,0.0,15.4,293.1,148.47
2020-07-01 00:30:00,246.9,52.8,299.7,0.0,65.0,166.6,52.8,0.0,15.3,293.1,148.47
2020-07-01 00:40:00,242.6,53.5,296.1,0.0,64.1,163.3,53.5,0.0,15.2,293.1,148.47
2020-07-01 00:50:00,241.1,49.7,290.8,0.0,61.1,164.8,49.7,0.0,15.2,293.1,148.47
2020-07-01 01:00:00,226.8,60.3,287.1,0.0,59.6,151.9,60.3,0.0,15.3,269.0,147.55
2020-07-01 01:10:00,217.5,64.0,281.5,0.0,59.5,142.1,64.0,0.0,15.9,269.0,147.55
2020-07-01 01:20:00,195.0,84.1,279.1,0.0,60.2,119.9,84.1,0.0,14.9,269.0,147.55
2020-07-01 01:30:00,208.3,64.4,272.7,0.0,60.2,132.8,64.4,0.0,15.3,269.0,147.55
2020-07-01 01:40:00,211.7,59.6,271.3,0.0,60.2,135.8,59.6,0.0,15.7,269.0,147.55
2020-07-01 01:50:00,223.8,48.5,272.3,0.0,60.3,148.1,48.5,0.0,15.4,269.0,147.55
2020-07-01 02:00:00,220.6,45.9,266.5,0.0,60.2,145.2,45.9,0.0,15.2,256.4,153.07
2020-07-01 02:10:00,212.2,53.1,265.3,0.0,60.2,136.7,53.1,0.0,15.3,256.4,153.07
2020-07-01 02:20:00,202.3,58.9,261.2,0.0,59.9,127.6,58.9,0.0,14.8,256.4,153.07
2020-07-01 02:30:00,200.7,59.8,260.5,0.0,60.2,125.2,59.8,0.0,15.3,256.4,153.07
2020-07-01 02:40:00,208.8,51.9,260.7,0.0,60.3,132.7,51.9,0.0,15.8,256.4,153.07
2020-07-01 02:50:00,221.1,38.8,259.9,0.0,60.1,145.5,38.8,0.0,15.5,256.4,153.07
2020-07-01 03:00:00,236.4,23.6,260.0,0.0,60.2,160.4,23.6,0.0,15.8,255.6,161.96
