time_series;ini;Generación T.Real no renovable SNP;Generación T.Real renovable SNP;Demanda real suma de generación SNP;Generación T.Real hidráulica SNP;Generación T.Real solar fotovoltaica SNP;Generación T.Real turbina de vapor SNP;Generación T.Real ciclo combinado SNP;Generación T.Real eólica SNP;Generación T.Real turbina de gas SNP;Generación T.Real motores diésel SNP;Demanda prevista SNP;Demanda programada SNP;Demanda Real SNP;Precio medio de la generación en los SNP por subsistema;Precio medio de la demanda en los SNP por subsistema
2020-03-01 00:00:00+01:00;;333.3;5.5;338.8;0.0;0.0;85.5;247.8;5.5;0.0;0.0;342.1;327.0;339.7;160.08;17.72
2020-03-01 00:10:00+01:00;;329.3;6.6;335.9;0.0;0.0;82.1;247.2;6.6;0.0;0.0;337.1;327.0;335.7;;
2020-03-01 00:20:00+01:00;;322.3;6.5;328.8;0.0;0.0;78.3;244.0;6.5;0.0;0.0;332.0;327.0;329.2;;
2020-03-01 00:30:00+01:00;;314.0;8.8;322.8;0.0;0.0;75.2;238.8;8.8;0.0;0.0;327.0;327.0;322.0;;
2020-03-01 00:40:00+01:00;;305.9;13.2;319.1;0.0;0.0;71.2;234.7;13.2;0.0;0.0;321.9;327.0;319.0;;
2020-03-01 00:50:00+01:00;;298.9;16.0;314.9;0.0;0.0;67.4;231.5;16.0;0.0;0.0;316.9;327.0;314.4;;
2020-03-01 01:00:00+01:00;;287.4;23.2;310.6;0.0;0.0;63.4;224.0;23.2;0.0;0.0;311.8;299.5;310.9;156.3;16.05
2020-03-01 01:10:00+01:00;;276.6;28.5;305.1;0.0;0.0;63.1;213.5;28.5;0.0;0.0;307.0;299.5;305.9;;
2020-03-01 01:20:00+01:00;;265.1;36.6;301.7;0.0;0.0;62.7;202.4;36.6;0.0;0.0;302.7;299.5;302.3;;
2020-03-01 01:30:00+01:00;;264.5;32.1;296.6;0.0;0.0;62.4;202.1;32.1;0.0;0.0;298.8;299.5;297.4;;
2020-03-01 01:40:00+01:00;;261.3;33.5;294.8;0.0;0.0;58.6;202.7;33.5;0.0;0.0;295.4;299.5;295.3;;
2020-03-01 01:50:00+01:00;;263.8;27.6;291.4;0.0;0.0;58.0;205.8;27.6;0.0;0.0;292.4;299.5;292.5;;
2020-03-01 02:00:00+01:00;;263.8;26.9;290.7;0.0;0.0;64.4;199.4;26.9;0.0;0.0;289.9;284.1;290.1;153.43;15.35
2020-03-01 02:10:00+01:00;;257.3;30.4;287.7;0.0;0.0;62.9;194.4;30.4;0.0;0.0;287.8;284.1;286.4;;
2020-03-01 02:20:00+01:00;;248.9;34.0;282.9;0.0;0.0;59.2;189.7;34.0;0.0;0.0;285.8;284.1;283.8;;
2020-03-01 02:30:00+01:00;;244.8;38.3;283.1;0.0;0.0;57.9;186.9;38.3;0.0;0.0;283.9;284.1;283.8;;
2020-03-01 02:40:00+01:00;;235.8;46.9;282.7;0.0;0.0;57.8;178.0;46.9;0.0;0.0;282.2;284.1;280.9;;
2020-03-01 02:50:00+01:00;;230.7;49.6;280.3;0.0;0.0;58.2;172.5;49.6;0.0;0.0;280.6;284.1;280.6;;
2020-03-01 03:00:00+01:00;;222.2;58.9;281.1;0.0;0.0;58.1;164.1;58.9;0.0;0.0;279.2;276.6;281.9;151.77;14.06
2020-03-01 03:10:00+01:00;;222.5;55.2;277.7;0.0;0.0;58.2;164.3;55.2;0.0;0.0;278.0;276.6;277.4;;
2020-03-01 03:20:00+01:00;;217.0;63.7;280.7;0.0;0.0;58.0;159.0;63.7;0.0;0.0;277.0;276.6;280.6;;
2020-03-01 03:30:00+01:00;;226.2;52.1;278.3;0.0;0.0;58.1;168.1;52.1;0.0;0.0;276.3;276.6;278.0;;
2020-03-01 03:40:00+01:00;;239.5;36.9;276.4;0.0;0.0;58.1;181.4;36.9;0.0;0.0;275.8;276.6;276.4;;
2020-03-01 03:50:00+01:00;;247.5;28.5;276.0;0.0;0.0;58.1;189.4;28.5;0.0;0.0;275.5;276.6;274.8;;
2020-03-01 04:00:00+01:00;;247.7;28.4;276.1;0.0;0.0;58.1;189.6;28.4;0.0;0.0;275.5;276.1;276.6;161.0;13.79
2020-03-01 04:10:00+01:00;;245.5;29.0;274.5;0.0;0.0;58.1;187.4;29.0;0.0;0.0;275.7;276.1;274.4;;
2020-03-01 04:20:00+01:00;;247.1;28.9;276.0;0.0;0.0;58.2;188.9;28.9;0.0;0.0;275.9;276.1;275.6;;
2020-03-01 04:30:00+01:00;;249.5;27.1;276.6;0.0;0.0;58.0;191.5;27.1;0.0;0.0;276.1;276.1;275.7;;
2020-03-01 04:40:00+01:00;;254.5;20.6;275.1;0.0;0.0;58.2;196.3;20.6;0.0;0.0;276.3;276.1;275.2;;
2020-03-01 04:50:00+01:00;;256.0;20.8;276.8;0.0;0.0;58.1;197.9;20.8;0.0;0.0;276.5;276.1;277.1;;
2020-03-01 05:00:00+01:00;;257.3;19.8;277.1;0.0;0.0;58.2;199.1;19.8;0.0;0.0;276.8;280.2;277.1;160.08;13.9
2020-03-01 05:10:00+01:00;;257.9;21.9;279.8;0.0;0.0;58.1;199.8;21.9;0.0;0.0;277.3;280.2;279.7;;
2020-03-01 05:20:00+01:00;;254.4;24.8;279.2;0.0;0.0;58.1;196.3;24.8;0.0;0.0;278.2;280.2;278.8;;
2020-03-01 05:30:00+01:00;;249.5;30.0;279.5;0.0;0.0;58.4;191.1;30.0;0.0;0.0;279.6;280.2;279.2;;
2020-03-01 05:40:00+01:00;;253.3;28.8;282.1;0.0;0.0;58.1;195.2;28.8;0.0;0.0;281.4;280.2;282.0;;
2020-03-01 05:50:00+01:00;;253.3;27.9;281.2;0.0;0.0;57.9;195.4;27.9;0.0;0.0;283.6;280.2;282.8;;
2020-03-01 06:00:00+01:00;;257.9;25.7;283.6;0.0;0.0;58.4;199.5;25.7;0.0;0.0;286.3;293.4;284.5;160.27;14.84
2020-03-01 06:10:00+01:00;;263.5;24.2;287.7;0.0;0.0;58.2;205.3;24.2;0.0;0.0;289.1;293.4;288.2;;
2020-03-01 06:20:00+01:00;;268.9;21.0;289.9;0.0;0.0;58.2;210.7;21.0;0.0;0.0;291.6;293.4;290.5;;
2020-03-01 06:30:00+01:00;;272.5;19.9;292.4;0.0;0.0;58.2;214.3;19.9;0.0;0.0;293.8;293.4;293.2;;
2020-03-01 06:40:00+01:00;;273.6;20.9;294.5;0.0;0.0;58.1;215.5;20.9;0.0;0.0;295.7;293.4;293.8;;
2020-03-01 06:50:00+01:00;;273.9;22.6;296.5;0.0;0.0;58.2;215.7;22.6;0.0;0.0;297.4;293.4;296.1;;
2020-03-01 07:00:00+01:00;;277.1;24.7;301.8;0.0;0.0;58.3;218.8;24.7;0.0;0.0;298.8;307.1;302.4;160.52;15.43
2020-03-01 07:10:00+01:00;;286.5;22.5;309.0;0.0;0.0;58.2;228.3;22.5;0.0;0.0;300.4;307.1;307.8;;
2020-03-01 07:20:00+01:00;;291.1;17.1;308.2;0.0;0.0;58.1;233.0;17.1;0.0;0.0;302.8;307.1;308.1;;
2020-03-01 07:30:00+01:00;;285.9;16.0;301.9;0.0;0.0;58.3;227.6;16.0;0.0;0.0;306.0;307.1;301.8;;
2020-03-01 07:40:00+01:00;;286.1;17.6;303.7;0.0;0.0;58.3;227.8;17.6;0.0;0.0;309.9;307.1;303.7;;
2020-03-01 07:50:00+01:00;;291.6;15.9;307.5;0.0;0.2;58.1;233.5;15.7;0.0;0.0;314.5;307.1;307.4;;
2020-03-01 08:00:00+01:00;;300.8;14.8;315.6;0.0;1.4;61.3;239.5;13.4;0.0;0.0;319.9;341.6;316.7;152.6;17.79
2020-03-01 08:10:00+01:00;;306.5;19.2;325.7;0.0;3.1;64.7;241.8;16.1;0.0;0.0;326.1;341.6;325.9;;
2020-03-01 08:20:00+01:00;;305.1;29.1;334.2;0.0;5.0;67.3;237.8;24.1;0.0;0.0;332.9;341.6;334.3;;
2020-03-01 08:30:00+01:00;;310.8;31.1;341.9;0.0;9.1;71.8;239.0;22.0;0.0;0.0;340.5;341.6;341.0;;
2020-03-01 08:40:00+01:00;;316.5;32.6;349.1;0.0;12.2;74.1;242.4;20.4;0.0;0.0;348.8;341.6;348.8;;
2020-03-01 08:50:00+01:00;;324.2;33.9;358.1;0.0;15.2;78.0;246.2;18.7;0.0;0.0;357.8;341.6;357.0;;
2020-03-01 09:00:00+01:00;;328.4;36.9;365.3;0.0;20.4;82.2;246.2;16.5;0.0;0.0;367.6;390.8;365.8;138.3;19.84
2020-03-01 09:10:00+01:00;;326.9;47.9;374.8;0.0;24.7;82.6;244.3;23.2;0.0;0.0;377.1;390.8;374.2;;
2020-03-01 09:20:00+01:00;;332.6;49.4;382.0;0.0;26.9;84.5;248.1;22.5;0.0;0.0;385.4;390.8;381.5;;
2020-03-01 09:30:00+01:00;;324.4;64.4;388.8;0.0;31.8;81.3;243.1;32.6;0.0;0.0;392.5;390.8;389.2;;
2020-03-01 09:40:00+01:00;;308.9;84.5;393.4;0.0;35.0;78.5;230.4;49.5;0.0;0.0;398.5;390.8;394.1;;
2020-03-01 09:50:00+01:00;;313.0;91.4;404.4;0.0;36.1;75.4;237.6;55.3;0.0;0.0;403.2;390.8;401.0;;
2020-03-01 10:00:00+01:00;;307.3;96.4;403.7;0.0;40.5;75.5;231.8;55.9;0.0;0.0;406.7;413.1;404.4;126.91;20.99
2020-03-01 10:10:00+01:00;;305.9;101.9;407.8;0.0;42.6;73.1;232.8;59.3;0.0;0.0;409.4;413.1;408.9;;
2020-03-01 10:20:00+01:00;;314.8;96.9;411.7;0.0;46.4;75.8;239.0;50.5;0.0;0.0;411.7;413.1;411.3;;
2020-03-01 10:30:00+01:00;;310.8;102.6;413.4;0.0;46.3;74.3;236.5;56.3;0.0;0.0;413.6;413.1;413.5;;
2020-03-01 10:40:00+01:00;;300.3;116.3;416.6;0.0;50.0;69.7;230.6;66.3;0.0;0.0;415.2;413.1;414.3;;
2020-03-01 10:50:00+01:00;;299.2;116.7;415.9;0.0;51.8;64.6;234.6;64.9;0.0;0.0;416.4;413.1;413.7;;
2020-03-01 11:00:00+01:00;;293.1;124.9;418.0;0.0;56.0;64.1;229.0;68.9;0.0;0.0;417.2;417.6;418.9;120.69;21.29
2020-03-01 11:10:00+01:00;;289.1;127.4;416.5;0.0;60.9;63.7;225.4;66.5;0.0;0.0;417.7;417.6;416.3;;
2020-03-01 11:20:00+01:00;;287.7;131.3;419.0;0.0;61.1;59.7;228.0;70.2;0.0;0.0;417.9;417.6;418.3;;
2020-03-01 11:30:00+01:00;;282.7;134.2;416.9;0.0;63.2;59.9;222.8;71.0;0.0;0.0;417.9;417.6;417.6;;
2020-03-01 11:40:00+01:00;;287.8;132.7;420.5;0.0;64.8;60.2;227.6;67.9;0.0;0.0;417.7;417.6;419.3;;
2020-03-01 11:50:00+01:00;;284.9;134.2;419.1;0.0;67.5;59.9;225.0;66.7;0.0;0.0;417.3;417.6;421.3;;
2020-03-01 12:00:00+01:00;;268.6;153.0;421.6;0.0;68.4;59.8;208.8;84.6;0.0;0.0;416.6;420.2;422.0;115.51;22.49
2020-03-01 12:10:00+01:00;;271.1;150.6;421.7;0.0;70.2;59.9;211.2;80.4;0.0;0.0;416.3;420.2;422.5;;
2020-03-01 12:20:00+01:00;;274.1;145.6;419.7;0.0;71.4;60.2;213.9;74.2;0.0;0.0;417.0;420.2;421.1;;
2020-03-01 12:30:00+01:00;;267.3;152.9;420.2;0.0;72.5;60.0;207.3;80.4;0.0;0.0;418.7;420.2;421.4;;
2020-03-01 12:40:00+01:00;;260.6;162.4;423.0;0.0;71.2;60.0;200.6;91.2;0.0;0.0;421.4;420.2;424.8;;
2020-03-01 12:50:00+01:00;;266.6;158.7;425.3;0.0;72.1;59.8;206.8;86.6;0.0;0.0;425.1;420.2;425.0;;
2020-03-01 13:00:00+01:00;;279.5;150.2;429.7;0.0;74.4;59.5;220.0;75.8;0.0;0.0;429.8;437.9;430.2;120.46;22.93
2020-03-01 13:10:00+01:00;;288.3;143.1;431.4;0.0;72.3;59.6;228.7;70.8;0.0;0.0;434.3;437.9;430.8;;
