PeriodEnd;PeriodStart;Period;AirTemp;RelativeHumidity;WindSpeed10m;Zenith
2020-03-31T00:20:00Z;2020-03-31T00:10:00Z;PT10M;14.3;87.1;0.7;145
2020-03-31T00:30:00Z;2020-03-31T00:20:00Z;PT10M;14.2;87.1;0.7;146
2020-03-31T00:40:00Z;2020-03-31T00:30:00Z;PT10M;14.2;87.1;0.8;147
2020-03-31T00:50:00Z;2020-03-31T00:40:00Z;PT10M;14.2;87.1;0.8;147
2020-03-31T01:00:00Z;2020-03-31T00:50:00Z;PT10M;14.1;87.1;0.8;148
2020-03-31T01:10:00Z;2020-03-31T01:00:00Z;PT10M;14.1;87.0;0.9;148
2020-03-31T01:20:00Z;2020-03-31T01:10:00Z;PT10M;14.0;87.0;1.0;148
2020-03-31T01:30:00Z;2020-03-31T01:20:00Z;PT10M;14.0;86.9;1.1;148
2020-03-31T01:40:00Z;2020-03-31T01:30:00Z;PT10M;13.9;86.8;1.2;147
2020-03-31T01:50:00Z;2020-03-31T01:40:00Z;PT10M;13.9;86.8;1.2;147
2020-03-31T02:00:00Z;2020-03-31T01:50:00Z;PT10M;13.8;86.6;1.3;146
2020-03-31T02:10:00Z;2020-03-31T02:00:00Z;PT10M;13.8;86.4;1.3;145
2020-03-31T02:20:00Z;2020-03-31T02:10:00Z;PT10M;13.7;86.0;1.1;144
2020-03-31T02:30:00Z;2020-03-31T02:20:00Z;PT10M;13.7;85.5;0.9;143
2020-03-31T02:40:00Z;2020-03-31T02:30:00Z;PT10M;13.7;85.1;0.7;142
2020-03-31T02:50:00Z;2020-03-31T02:40:00Z;PT10M;13.6;84.6;0.6;141
2020-03-31T03:00:00Z;2020-03-31T02:50:00Z;PT10M;13.6;84.2;0.4;139
2020-03-31T03:10:00Z;2020-03-31T03:00:00Z;PT10M;13.6;83.8;0.3;138
2020-03-31T03:20:00Z;2020-03-31T03:10:00Z;PT10M;13.6;83.5;0.3;136
2020-03-31T03:30:00Z;2020-03-31T03:20:00Z;PT10M;13.5;83.1;0.2;134
2020-03-31T03:40:00Z;2020-03-31T03:30:00Z;PT10M;13.5;82.8;0.2;133
2020-03-31T03:50:00Z;2020-03-31T03:40:00Z;PT10M;13.5;82.4;0.1;131
2020-03-31T04:00:00Z;2020-03-31T03:50:00Z;PT10M;13.5;82.1;0.1;129
2020-03-31T04:10:00Z;2020-03-31T04:00:00Z;PT10M;13.5;81.9;0.1;127
2020-03-31T04:20:00Z;2020-03-31T04:10:00Z;PT10M;13.5;82.0;0.2;125
2020-03-31T04:30:00Z;2020-03-31T04:20:00Z;PT10M;13.5;82.0;0.3;123
2020-03-31T04:40:00Z;2020-03-31T04:30:00Z;PT10M;13.5;82.0;0.5;121
2020-03-31T04:50:00Z;2020-03-31T04:40:00Z;PT10M;13.5;82.1;0.6;119
2020-03-31T05:00:00Z;2020-03-31T04:50:00Z;PT10M;13.5;82.2;0.7;117
2020-03-31T05:10:00Z;2020-03-31T05:00:00Z;PT10M;13.4;82.4;0.8;115
2020-03-31T05:20:00Z;2020-03-31T05:10:00Z;PT10M;13.4;82.8;0.7;113
2020-03-31T05:30:00Z;2020-03-31T05:20:00Z;PT10M;13.3;83.3;0.7;111
2020-03-31T05:40:00Z;2020-03-31T05:30:00Z;PT10M;13.2;83.8;0.6;109
2020-03-31T05:50:00Z;2020-03-31T05:40:00Z;PT10M;13.1;84.3;0.6;107
2020-03-31T06:00:00Z;2020-03-31T05:50:00Z;PT10M;13.0;84.8;0.5;104
2020-03-31T06:10:00Z;2020-03-31T06:00:00Z;PT10M;12.9;85.1;0.5;102
2020-03-31T06:20:00Z;2020-03-31T06:10:00Z;PT10M;12.9;85.3;0.4;100
2020-03-31T06:30:00Z;2020-03-31T06:20:00Z;PT10M;12.9;85.5;0.4;98
2020-03-31T06:40:00Z;2020-03-31T06:30:00Z;PT10M;12.9;85.7;0.4;96
2020-03-31T06:50:00Z;2020-03-31T06:40:00Z;PT10M;12.9;85.9;0.4;94
2020-03-31T07:00:00Z;2020-03-31T06:50:00Z;PT10M;12.9;85.8;0.4;91
