PeriodEnd;PeriodStart;Period;AirTemp;RelativeHumidity;WindSpeed10m;Zenith
2020-06-30T00:20:00Z;2020-06-30T00:10:00Z;PT10M;18.6;74.7;4.6;127
2020-06-30T00:30:00Z;2020-06-30T00:20:00Z;PT10M;18.6;74.6;4.7;128
2020-06-30T00:40:00Z;2020-06-30T00:30:00Z;PT10M;18.6;74.5;4.7;128
2020-06-30T00:50:00Z;2020-06-30T00:40:00Z;PT10M;18.6;74.4;4.8;128
2020-06-30T01:00:00Z;2020-06-30T00:50:00Z;PT10M;18.6;74.4;4.8;128
2020-06-30T01:10:00Z;2020-06-30T01:00:00Z;PT10M;18.5;74.4;4.9;129
2020-06-30T01:20:00Z;2020-06-30T01:10:00Z;PT10M;18.5;74.5;4.9;129
2020-06-30T01:30:00Z;2020-06-30T01:20:00Z;PT10M;18.4;74.6;4.9;128
2020-06-30T01:40:00Z;2020-06-30T01:30:00Z;PT10M;18.3;74.7;5.0;128
2020-06-30T01:50:00Z;2020-06-30T01:40:00Z;PT10M;18.2;74.8;5.0;128
2020-06-30T02:00:00Z;2020-06-30T01:50:00Z;PT10M;18.2;74.8;5.0;127
2020-06-30T02:10:00Z;2020-06-30T02:00:00Z;PT10M;18.1;74.7;5.0;127
2020-06-30T02:20:00Z;2020-06-30T02:10:00Z;PT10M;18.1;74.2;5.1;126
2020-06-30T02:30:00Z;2020-06-30T02:20:00Z;PT10M;18.2;73.7;5.1;125
2020-06-30T02:40:00Z;2020-06-30T02:30:00Z;PT10M;18.2;73.1;5.1;125
2020-06-30T02:50:00Z;2020-06-30T02:40:00Z;PT10M;18.2;72.6;5.2;124
2020-06-30T03:00:00Z;2020-06-30T02:50:00Z;PT10M;18.2;72.1;5.2;123
2020-06-30T03:10:00Z;2020-06-30T03:00:00Z;PT10M;18.2;71.5;5.2;121
2020-06-30T03:20:00Z;2020-06-30T03:10:00Z;PT10M;18.2;70.9;5.1;120
2020-06-30T03:30:00Z;2020-06-30T03:20:00Z;PT10M;18.2;70.3;5.1;119
2020-06-30T03:40:00Z;2020-06-30T03:30:00Z;PT10M;18.2;69.7;5.0;118
2020-06-30T03:50:00Z;2020-06-30T03:40:00Z;PT10M;18.2;69.1;5.0;116
2020-06-30T04:00:00Z;2020-06-30T03:50:00Z;PT10M;18.2;68.6;4.9;115
2020-06-30T04:10:00Z;2020-06-30T04:00:00Z;PT10M;18.2;68.2;4.9;113
2020-06-30T04:20:00Z;2020-06-30T04:10:00Z;PT10M;18.1;68.1;4.9;112
2020-06-30T04:30:00Z;2020-06-30T04:20:00Z;PT10M;18.1;68.1;4.9;110
2020-06-30T04:40:00Z;2020-06-30T04:30:00Z;PT10M;18.1;68.0;4.9;109
2020-06-30T04:50:00Z;2020-06-30T04:40:00Z;PT10M;18.1;68.0;4.9;107
2020-06-30T05:00:00Z;2020-06-30T04:50:00Z;PT10M;18.0;68.2;4.9;105
2020-06-30T05:10:00Z;2020-06-30T05:00:00Z;PT10M;18.0;68.7;4.9;103
2020-06-30T05:20:00Z;2020-06-30T05:10:00Z;PT10M;17.9;70.0;4.8;102
2020-06-30T05:30:00Z;2020-06-30T05:20:00Z;PT10M;17.8;71.4;4.7;100
2020-06-30T05:40:00Z;2020-06-30T05:30:00Z;PT10M;17.7;72.8;4.6;98
2020-06-30T05:50:00Z;2020-06-30T05:40:00Z;PT10M;17.6;74.2;4.5;96
2020-06-30T06:00:00Z;2020-06-30T05:50:00Z;PT10M;17.5;75.2;4.5;94
2020-06-30T06:10:00Z;2020-06-30T06:00:00Z;PT10M;17.6;75.7;4.4;92
2020-06-30T06:20:00Z;2020-06-30T06:10:00Z;PT10M;17.8;74.8;4.4;90
2020-06-30T06:30:00Z;2020-06-30T06:20:00Z;PT10M;18.1;73.8;4.3;88
2020-06-30T06:40:00Z;2020-06-30T06:30:00Z;PT10M;18.3;72.8;4.3;86
