PeriodEnd,Temp_Aire_ºC,RH_%,WS_10m_ms,Zenith_º
2020-04-01 00:00:00,14.3,80.8,1.5,143.0
2020-04-01 00:10:00,14.2,80.5,1.5,144.0
2020-04-01 00:20:00,14.1,80.6,1.5,145.0
2020-04-01 00:30:00,14.1,80.8,1.6,146.0
2020-04-01 00:40:00,14.0,81.1,1.6,147.0
2020-04-01 00:50:00,14.0,81.3,1.7,147.0
2020-04-01 01:00:00,13.9,81.4,1.8,147.0
2020-04-01 01:10:00,13.9,81.5,1.8,148.0
2020-04-01 01:20:00,13.9,81.5,1.8,148.0
2020-04-01 01:30:00,13.9,81.5,1.8,147.0
2020-04-01 01:40:00,13.8,81.4,1.8,147.0
2020-04-01 01:50:00,13.8,81.4,1.8,146.0
2020-04-01 02:00:00,13.8,81.4,1.8,146.0
2020-04-01 02:10:00,13.8,81.4,1.8,145.0
2020-04-01 02:20:00,13.7,81.6,1.7,144.0
2020-04-01 02:30:00,13.7,81.8,1.7,143.0
2020-04-01 02:40:00,13.6,82.0,1.7,142.0
2020-04-01 02:50:00,13.6,82.2,1.8,140.0
2020-04-01 03:00:00,13.5,82.4,1.8,139.0
2020-04-01 03:10:00,13.5,82.7,1.8,137.0
2020-04-01 03:20:00,13.4,83.0,1.8,136.0
2020-04-01 03:30:00,13.4,83.4,1.8,134.0
2020-04-01 03:40:00,13.3,83.8,1.8,132.0
2020-04-01 03:50:00,13.3,84.2,1.8,130.0
2020-04-01 04:00:00,13.2,84.4,1.9,129.0
2020-04-01 04:10:00,13.2,84.6,1.9,127.0
2020-04-01 04:20:00,13.2,84.5,2.1,125.0
2020-04-01 04:30:00,13.2,84.3,2.2,123.0
2020-04-01 04:40:00,13.2,84.1,2.4,121.0
2020-04-01 04:50:00,13.2,84.0,2.6,119.0
2020-04-01 05:00:00,13.2,83.8,2.7,117.0
2020-04-01 05:10:00,13.2,83.5,2.8,115.0
2020-04-01 05:20:00,13.2,83.2,2.7,113.0
2020-04-01 05:30:00,13.2,82.8,2.6,111.0
2020-04-01 05:40:00,13.3,82.4,2.5,108.0
2020-04-01 05:50:00,13.3,82.1,2.4,106.0
2020-04-01 06:00:00,13.3,81.7,2.4,104.0
2020-04-01 06:10:00,13.3,81.4,2.3,102.0
2020-04-01 06:20:00,13.3,81.1,2.1,100.0
2020-04-01 06:30:00,13.2,80.8,2.0,98.0
2020-04-01 06:40:00,13.2,80.5,1.8,96.0
2020-04-01 06:50:00,13.2,80.2,1.7,93.0
2020-04-01 07:00:00,13.2,79.8,1.6,91.0
2020-04-01 07:10:00,13.3,79.2,1.4,89.0
2020-04-01 07:20:00,13.5,78.3,1.3,87.0
2020-04-01 07:30:00,13.7,77.4,1.2,85.0
2020-04-01 07:40:00,13.9,76.6,1.1,82.0
2020-04-01 07:50:00,14.1,75.7,1.0,80.0
2020-04-01 08:00:00,14.3,74.9,1.0,78.0
2020-04-01 08:10:00,14.4,74.3,0.9,76.0
2020-04-01 08:20:00,14.5,73.9,1.0,74.0
2020-04-01 08:30:00,14.7,73.6,1.2,71.0
2020-04-01 08:40:00,14.8,73.2,1.3,69.0
2020-04-01 08:50:00,14.9,72.9,1.4,67.0
2020-04-01 09:00:00,15.0,72.6,1.5,65.0
2020-04-01 09:10:00,15.1,72.3,1.6,63.0
2020-04-01 09:20:00,15.2,72.2,1.8,60.0
2020-04-01 09:30:00,15.3,72.0,1.9,58.0
2020-04-01 09:40:00,15.4,71.9,2.0,56.0
2020-04-01 09:50:00,15.5,71.7,2.1,54.0
2020-04-01 10:00:00,15.6,71.6,2.2,52.0
2020-04-01 10:10:00,15.7,71.5,2.3,50.0
2020-04-01 10:20:00,15.8,71.5,2.3,48.0
2020-04-01 10:30:00,15.9,71.5,2.4,46.0
2020-04-01 10:40:00,16.0,71.5,2.4,44.0
2020-04-01 10:50:00,16.1,71.5,2.4,42.0
2020-04-01 11:00:00,16.1,71.6,2.4,40.0
2020-04-01 11:10:00,16.2,71.6,2.4,38.0
2020-04-01 11:20:00,16.2,71.8,2.3,36.0
2020-04-01 11:30:00,16.3,72.0,2.1,34.0
2020-04-01 11:40:00,16.3,72.1,2.0,33.0
2020-04-01 11:50:00,16.4,72.3,1.9,31.0
2020-04-01 12:00:00,16.4,72.5,1.8,30.0
2020-04-01 12:10:00,16.4,72.7,1.8,28.0
2020-04-01 12:20:00,16.5,72.9,1.9,27.0
2020-04-01 12:30:00,16.5,73.1,2.0,26.0
2020-04-01 12:40:00,16.5,73.3,2.1,25.0
2020-04-01 12:50:00,16.6,73.5,2.3,24.0
2020-04-01 13:00:00,16.6,73.7,2.4,24.0
2020-04-01 13:10:00,16.6,74.0,2.5,24.0
2020-04-01 13:20:00,16.5,74.3,2.5,24.0
2020-04-01 13:30:00,16.5,74.6,2.5,24.0
2020-04-01 13:40:00,16.4,74.9,2.6,24.0
2020-04-01 13:50:00,16.4,75.2,2.6,25.0
2020-04-01 14:00:00,16.4,75.5,2.6,26.0
2020-04-01 14:10:00,16.3,75.8,2.6,27.0
2020-04-01 14:20:00,16.3,76.0,2.6,28.0
2020-04-01 14:30:00,16.2,76.3,2.5,30.0
2020-04-01 14:40:00,16.2,76.5,2.5,31.0
2020-04-01 14:50:00,16.2,76.8,2.4,33.0
2020-04-01 15:00:00,16.1,77.0,2.4,34.0
2020-04-01 15:10:00,16.1,77.3,2.3,36.0
2020-04-01 15:20:00,16.0,77.5,2.2,38.0
2020-04-01 15:30:00,15.9,77.8,2.2,40.0
2020-04-01 15:40:00,15.9,78.1,2.1,42.0
2020-04-01 15:50:00,15.8,78.4,2.0,44.0
2020-04-01 16:00:00,15.7,78.6,1.9,46.0
2020-04-01 16:10:00,15.7,78.9,1.9,48.0
2020-04-01 16:20:00,15.6,79.1,1.9,50.0
2020-04-01 16:30:00,15.6,79.3,1.9,52.0
2020-04-01 16:40:00,15.5,79.5,1.9,54.0
2020-04-01 16:50:00,15.5,79.7,1.9,56.0
2020-04-01 17:00:00,15.5,80.0,1.9,58.0
2020-04-01 17:10:00,15.4,80.3,1.9,61.0
2020-04-01 17:20:00,15.4,80.7,1.8,63.0
2020-04-01 17:30:00,15.3,81.0,1.7,65.0
2020-04-01 17:40:00,15.3,81.4,1.7,67.0
2020-04-01 17:50:00,15.3,81.8,1.6,69.0
2020-04-01 18:00:00,15.2,82.2,1.5,71.0
2020-04-01 18:10:00,15.2,82.5,1.5,74.0
